reporting_status,product,industry,region,strength_in_segment,profit_for_customer,sales_value,profit_perc,joint_bid_portion
Lost,Li,Con,UK,46,0.913,10.1,63,62
Lost,F,Con,UK,54,1.569,7.8,53,57
Won,Li,Con,UK,46,0.92,7.8,48,60
Lost,F,Inf,UK,62,1.335,7.4,47,71
Lost,P,Inf,UK,37,1.545,8,55,67
Won,G,Cap,Oth,41,-0.346,6.3,47,61
Lost,C,Ban,UK,59,1.588,9.2,57,73
Lost,P,Sec,Ind,44,1.3,6.5,49,66
Lost,G,Ins,UK,58,1.839,12.9,48,77
Lost,P,Con,UK,53,0.524,8,55,38
Lost,Li,Cap,Oth,47,1.539,10.6,38,58
Won,G,Oth,UK,49,0.41,7.7,67,58
Won,P,Sec,Ind,44,1.201,8.6,42,53
Lost,G,Ins,UK,58,1.552,10.1,45,54
Lost,P,Sec,Ind,44,1.553,12,62,66
Won,G,Cap,Oth,41,1.722,9.8,32,100
Won,Li,Cap,Oth,47,0.781,7.7,47,68
Lost,L,Def,UK,51,1.568,7.3,42,67
Lost,Li,Cap,Oth,47,2.112,8.3,66,65
Won,Li,Cap,UK,27,1.587,7.2,41,67
Lost,C,Ban,UK,59,1.271,7.3,46,60
Lost,C,Ban,UK,59,0.938,9.8,51,70
Won,P,Cap,UK,71,0.204,12.2,51,53
Lost,G,Oth,UK,49,0.92,9.4,58,48
Won,L,Def,UK,51,1.161,7.3,37,72
Won,G,Def,Ame,50,0.627,12.2,55,55
Won,P,Sec,Ind,44,-0.089,7.1,43,60
Won,G,Cap,Oth,41,-0.285,8.8,41,57
Won,G,Def,Ame,50,0.649,10.7,54,58
Won,P,Con,UK,53,1.209,9.4,49,90
Lost,C,Ban,UK,59,0.632,9.9,58,67
Won,P,Sec,Ind,44,0.429,3.5,58,62
Lost,P,Inf,UK,37,1.29,8.4,67,39
Won,G,Air,UK,56,0.293,9.8,52,47
Won,G,Oth,Afr,39,-0.006,8.4,41,53
Lost,G,Cap,UK,48,0.851,10.7,68,66
Won,Li,Cap,Oth,47,1.111,4.9,44,55
Lost,G,Ban,UK,61,1.358,5.8,53,64
Lost,C,Ban,UK,59,1.554,11.3,48,67
Won,G,Cap,UK,48,0.434,7.5,35,60
Won,L,Ban,Afr,45,0.099,7.2,60,52
Won,G,Oth,UK,49,0.266,5.3,39,66
Won,L,Ene,UK,42,1.01,6.3,51,62
Lost,G,Fin,UK,55,1.05,9.3,53,36
Lost,G,Fin,UK,55,1.243,9.7,40,46
Lost,G,OG,Oth,72,0.723,7.4,39,53
Lost,G,Tel,Spa,66,0.816,9.6,45,61
Won,G,Sec,UK,32,1.126,8.4,55,65
Lost,L,Cap,UK,40,1.114,9.2,53,43
Won,P,Inf,UK,37,1.017,10.9,49,54
Won,G,Hea,UK,67,0.096,10.2,42,53
Lost,G,Air,UK,56,1.112,9.2,57,90
Lost,G,Cap,UK,48,1.715,13,57,73
Lost,G,Tel,Spa,66,1.805,7.2,26,54
Won,G,Oth,UK,49,0.805,6.8,56,61
Won,P,Cap,UK,71,0.659,4.7,42,62
Won,F,Ins,UK,31,0.003,9.6,34,69
Won,L,Ene,UK,42,0.699,8.3,45,71
Lost,G,Ban,Ame,43,0.86,6.3,64,59
Won,P,Sec,Ind,44,0.363,7.1,37,90
Won,L,Cap,UK,40,0.305,9.4,46,43
Won,G,Cap,UK,48,0.348,10.5,56,54
Won,G,Ban,Afr,52,0.118,9.8,45,62
Won,G,Fin,UK,55,1.064,9.8,42,70
Won,L,Ene,UK,42,0.815,8.1,50,50
Lost,P,OG,Jap,33,1.575,7.2,57,46
Won,G,Oth,UK,49,1.039,5.4,48,72
Won,G,Cap,Oth,41,1.153,7.9,42,69
Won,G,Ban,Ame,43,0.853,6.8,33,58
Lost,F,Inf,UK,62,1.215,10,53,51
Lost,G,Tel,Spa,66,1.313,7.4,63,58
Lost,G,Cap,UK,48,1.477,6.5,56,64
Won,G,Cap,Oth,41,0.239,10.8,44,63
Lost,G,Def,Jap,63,1.031,5.7,45,65
Won,G,Def,Ame,50,0.604,8.1,43,64
Lost,G,Ban,Sin,65,1.67,4.9,46,45
Won,F,Inf,UK,62,0.315,7.4,47,73
Won,G,Ban,Afr,52,0.852,5.4,45,41
Lost,Li,Oth,Oth,64,1.413,9.4,48,79
Won,G,Oth,UK,49,0.949,8.1,50,59
Lost,Li,Oth,Oth,64,0.665,8.7,51,49
Won,F,Inf,UK,62,0.713,7.7,47,57
Won,G,Air,UK,56,-0.331,4.8,56,57
Won,P,Mob,Can,29,1.04,8.8,35,65
Lost,G,Ban,UK,61,1.517,2.8,41,53
Won,L,Ban,Afr,45,0.829,11,53,62
Won,F,Con,UK,54,0.97,7.9,34,47
Lost,Li,Oth,Oth,64,2.112,8.7,53,57
Won,G,Def,Oth,30,0.617,10.5,38,56
Won,G,Fin,UK,55,1.06,5.7,41,72
Lost,G,Cap,UK,48,0.844,10.3,51,35
Lost,F,Cap,Oth,57,1.38,8.3,62,62
Won,P,Sec,Ind,44,1.062,8.3,45,63
Lost,P,Sec,Ind,44,1.693,8.5,37,62
Lost,L,Def,UK,51,1.452,8.8,52,46
Lost,L,Ene,UK,42,1.109,7.7,57,57
Lost,G,Fin,UK,55,0.783,9.7,61,58
Won,L,Ene,UK,42,0.564,9.9,49,66
Won,G,Ins,UK,58,0.813,6.9,54,69
Won,G,Ban,Afr,52,0.758,7.9,46,43
Lost,G,Fin,UK,55,2.537,8.6,59,65
Lost,G,Ban,UK,61,1.297,12.4,53,56
Lost,G,Air,UK,56,0.905,7.8,62,62
Won,L,Cap,UK,40,1.437,4.4,48,74
Won,G,Def,Jap,63,0.607,8,48,63
Lost,L,Def,UK,51,1.256,12.5,62,60
Won,L,Ban,Afr,45,0.9,8.9,29,45
Won,G,Def,Ame,50,-0.195,8.6,39,64
Won,G,Def,Ame,50,0.485,9,60,49
Lost,G,Ban,UK,61,1.318,5.6,54,76
Won,L,Cap,UK,40,0.395,6.2,52,45
Lost,G,Ban,Ame,43,1.384,9.9,47,54
Lost,G,Hea,UK,67,1.111,9.9,46,64
Lost,P,Cli,UK,70,1.92,8.4,53,90
Lost,G,Ins,UK,58,1.119,8.6,48,50
Won,G,Cap,Oth,41,1.377,6.2,46,70
Lost,P,Con,UK,53,1.353,7.7,54,59
Won,Li,Con,UK,46,0.742,10.5,43,56
Won,G,Cap,Oth,41,0.807,4.4,42,43
Won,L,Ene,UK,42,0.735,11.3,41,63
Lost,P,Sec,Ind,44,1.504,8.1,55,68
Won,G,Ban,Ame,43,0.559,12.2,52,47
Lost,F,Inf,UK,62,0.951,7.7,45,63
Lost,Li,Oth,Oth,64,1.394,3.4,54,61
Won,G,Cap,Oth,41,0.929,5.2,23,65
Lost,G,Hea,UK,67,0.693,12,52,62
Lost,P,Inf,UK,37,1.842,11.8,61,62
Lost,L,Def,UK,51,2.306,5.8,53,44
Won,G,Ban,Ame,43,0.786,5.9,58,55
Lost,G,Ban,Ame,43,1.611,9.3,35,57
Lost,P,Sec,Ind,44,1.526,5.2,37,54
Lost,G,Ban,Afr,52,1.955,6.7,62,52
Won,Li,Oth,Oth,64,0.424,5.8,53,67
Lost,G,Ban,Afr,52,0.809,7.9,57,58
Won,G,Cap,UK,48,1.189,6.7,50,100
Lost,Li,Cap,Oth,47,1.813,12,40,63
Won,Lo,Mob,UK,35,0.583,9.8,61,57
Lost,G,Ban,Afr,52,1.546,7,59,54
Lost,G,Oth,UK,49,1.118,8,60,54
Lost,F,Con,UK,54,1.266,7.6,53,59
Lost,P,Inf,UK,37,1.361,8.4,58,55
Lost,F,Cap,UK,60,1.628,9.9,74,59
Lost,Li,Con,UK,46,1.202,10.8,51,62
Won,L,Def,UK,51,1.205,5.7,26,64
Won,P,Con,UK,53,1.292,8.4,39,100
Lost,G,Air,UK,56,1.256,10.5,43,54
Won,G,Air,UK,56,0.86,8,50,63
Lost,G,Air,UK,56,0.881,8.3,53,48
Lost,F,Cap,UK,60,2.112,9.6,64,49
Lost,F,Cap,Oth,57,0.925,5,47,54
Won,G,Oth,Afr,39,-0.179,10.3,52,40
Won,F,Con,UK,54,0.341,4.9,42,58
Won,G,Oth,UK,49,0.449,5.4,53,67
Lost,P,Con,UK,53,1.196,8.5,54,53
Lost,G,Air,UK,56,1.14,8.8,53,59
Lost,G,Ins,UK,58,1.195,7.4,41,64
Lost,G,Fin,UK,55,1.366,6.8,55,62
Won,G,Ban,Afr,52,0.639,8.7,45,72
Won,G,Cap,Oth,41,0.566,9.8,40,64
Won,G,Oth,UK,49,0.685,5.3,59,51
Won,G,Sec,UK,32,0.7,11.3,45,67
Won,C,Ban,UK,59,0.576,8.8,48,65
Won,G,Hea,UK,67,0.312,11.1,39,56
Won,P,Sec,Ind,44,0.783,8.3,44,62
Lost,Li,Cap,Oth,47,1.862,11.7,52,90
Won,Li,Con,UK,46,0.656,5.7,63,53
Won,G,Ban,Afr,52,0.508,7.2,48,55
Won,L,Ban,Afr,45,0.824,7.2,42,65
Won,L,Ban,Afr,45,0.765,10.8,49,63
Lost,G,Oth,UK,49,1.649,5.8,76,50
Won,Lo,Mob,UK,35,1.089,10.3,38,55
Lost,G,Def,UK,83,0.688,8.7,50,52
Lost,L,Def,UK,51,1.589,7.8,72,60
Lost,F,Inf,UK,62,1.725,8.6,39,79
Lost,L,Ene,UK,42,1.955,7.2,62,63
Lost,Li,Oth,Oth,64,1.269,11.4,69,69
Won,Li,Cap,Oth,47,0.772,6.2,47,69
Won,L,Def,UK,51,1.265,8.7,40,72
Won,P,OG,Jap,33,0.923,9.2,41,45
Lost,G,Cap,UK,48,0.981,7.8,66,49
Lost,G,Air,UK,56,1.309,10.4,45,66
Lost,G,Cap,UK,48,1.254,8.8,57,58
Won,L,Def,UK,51,1.329,9.8,33,45
Lost,P,Sec,Ind,44,1.595,10.8,37,47
Lost,G,Fin,UK,55,1.602,6.8,49,57
Lost,G,Ins,UK,58,1.225,7.3,42,74
Lost,F,Con,UK,54,1.805,6.6,57,60
Lost,Li,Con,UK,46,2.112,12.9,45,55
Lost,G,Ban,Afr,52,1.945,7,52,64
Lost,G,Def,Ame,50,1.313,8.4,56,65
Lost,C,Ban,UK,59,1.211,8.8,46,55
Won,Li,Con,UK,46,0.871,7.6,57,61
Won,P,Cap,Ame,28,0.666,10.7,68,77
Lost,Li,Cap,Oth,47,0.705,8.4,77,72
Lost,F,Cap,Oth,57,0.703,6.5,51,44
Lost,F,Inf,UK,62,0.839,5.6,77,68
Lost,L,Ban,Afr,45,1.27,9,48,68
Won,G,Ban,Sin,65,-0.069,7.5,36,53
Won,G,Air,UK,56,1.258,8.1,21,48
Won,Lo,Mob,UK,35,0.886,7.4,55,69
Lost,G,Def,Ame,50,1.131,7.1,55,61
Lost,G,Def,Jap,63,1.073,7.5,43,59
Lost,G,Ins,UK,58,1.126,7.6,56,39
Lost,G,Oth,Ame,38,1.656,5.8,57,74
Won,G,Ban,UK,61,1.055,8.8,31,55
Lost,P,Cap,Ame,28,1.481,7.6,58,63
Won,L,Ene,UK,42,1.029,5.9,37,46
Lost,F,Con,UK,54,1.514,9.8,51,68
Lost,F,Cap,Oth,57,1.537,7.8,54,50
Won,P,OG,Jap,33,1.048,6.8,46,66
Won,G,Def,Ame,50,1.013,6.1,46,60
Won,G,Sec,Sin,73,0.466,2.4,30,53
Won,G,Cap,UK,48,0.627,8,50,56
Lost,Lo,Gov,UK,36,1.352,5.9,55,60
Won,Li,Con,UK,46,-0.561,4.3,53,65
Won,F,Con,UK,54,1.483,6.5,30,90
Won,G,Air,UK,56,0.542,8.2,55,72
Lost,P,OG,Jap,33,1.621,10.5,47,66
Won,G,Oth,Afr,39,0.485,10.3,42,56
Lost,F,Inf,UK,62,1.543,7.8,38,63
Lost,G,Air,UK,56,0.945,10.7,44,50
Lost,F,Cap,Oth,57,0.752,12.3,63,70
Lost,F,Inf,UK,62,0.934,8.9,50,55
Won,G,Air,UK,56,0.518,4.5,41,47
Won,G,Fin,UK,55,0.666,7.5,41,59
Lost,F,Con,UK,54,1.69,7.8,43,56
Won,G,Oth,Afr,39,0.776,7.9,66,100
Lost,L,Cap,UK,40,1.451,10.2,71,62
Lost,G,Ban,Afr,52,1.705,8.9,55,70
Lost,G,Ban,Afr,52,1.404,6.6,47,59
Lost,L,Def,UK,51,0.897,7.7,65,74
Won,G,Agr,Oth,26,0.035,3,55,44
Lost,F,Cap,Oth,57,1.722,7.6,57,52
Won,G,Ins,UK,58,0.736,11,43,60
Lost,G,Oth,UK,49,1.559,8.9,51,62
Won,G,Ban,Ame,43,0.246,8,53,51
Lost,F,Cap,Oth,57,1.617,6.4,50,65
Lost,G,Oth,Afr,39,1.79,6.6,51,55
Lost,G,Cap,Oth,41,1.029,10.8,62,63
Lost,P,Con,UK,53,1.55,7.6,48,53
Won,G,Sec,UK,32,0.752,9.7,60,56
Won,G,Air,UK,56,0.536,4.5,51,51
Won,G,Ban,Afr,52,-0.031,7.1,30,56
Won,P,Con,UK,53,0.865,10.8,31,61
Won,P,Sec,Ind,44,0.284,9.4,41,62
Lost,P,Inf,UK,37,1.225,8.9,56,51
Won,L,Ene,UK,42,0.431,7.4,42,56
Won,G,OG,Oth,72,0.701,7.9,36,54
Won,G,Oth,Ame,38,1.371,6.8,43,60
Won,P,Ene,UK,34,0.529,5.5,53,54
Won,P,OG,Jap,33,1.196,3,47,69
Lost,Li,Con,UK,46,1.202,10.6,68,90
Won,G,Ban,Ame,43,0.797,7.5,56,65
Won,Li,Cap,Oth,47,0.729,4.8,35,73
Won,Li,Con,UK,46,1.269,7.8,39,47
Won,P,Mob,Can,29,0.529,5.2,27,67
Lost,G,Ban,Afr,52,1.259,8.5,58,61
Won,L,Ene,UK,42,-0.231,6.9,54,64
Lost,L,Def,UK,51,2.112,8.5,61,69
Lost,L,Cap,UK,40,2.112,4.4,55,66
Lost,C,Ban,UK,59,1.306,7,38,57
Lost,P,Sec,Ame,68,1.626,5.2,45,48
Lost,G,Def,Jap,63,0.948,8.1,59,65
Lost,G,Ban,Afr,52,1.798,6,63,64
Lost,G,Def,Ame,50,1.293,9.7,64,63
Won,F,Cap,Oth,57,0.674,9.8,38,53
Won,G,Ban,Ame,43,0.019,8.2,34,67
Lost,G,Ban,UK,61,0.915,6.2,64,62
Won,G,Oth,Ame,38,1.225,7.8,42,73
Won,Li,Con,UK,46,0.376,9.5,44,64
Lost,F,Cap,UK,60,1.445,6.4,51,60
Won,Li,Cap,Oth,47,-0.007,6.6,59,44
Lost,F,Cap,UK,60,1.07,6.5,60,48
Won,P,Sec,Ind,44,0.308,6.8,43,61
Won,L,Ene,UK,42,1.246,7.8,40,55
Won,F,Con,UK,54,0.3,5.9,49,55
Won,P,Inf,UK,37,0.387,7.5,40,49
Lost,G,Air,UK,56,1.821,8.6,53,52
Lost,F,Cap,UK,60,1.179,8,41,57
Won,G,Cap,UK,48,0.451,12,54,59
Lost,G,Ban,Afr,52,1.631,7.3,46,52
Lost,G,Air,UK,56,0.908,10.1,61,58
Won,Lo,Mob,UK,35,1.737,11.8,43,78
Lost,L,Cap,UK,40,1.31,8.3,58,67
Won,P,Ene,UK,34,0.974,7.4,48,38
Lost,G,Ban,Ame,43,1.034,7.7,63,79
Lost,Li,Cap,Oth,47,1.22,6.7,52,61
Lost,Li,Cap,Oth,47,1.446,6,57,61
Lost,G,Ban,Afr,52,1.271,6.1,58,54
Lost,L,Cap,UK,40,1.692,7.4,50,66
Lost,P,Con,UK,53,1.117,7.9,48,62
Won,F,Inf,UK,62,0.612,7.1,40,43
Won,G,Tel,Spa,66,0.168,7.3,62,66
Lost,P,Ins,UK,75,1.225,11.4,43,54
Won,Li,Cap,Oth,47,0.283,8.5,42,54
Won,L,Def,UK,51,1.262,7.4,41,70
Won,Li,Con,UK,46,0.563,5.5,69,62
Lost,G,Ban,Sin,65,1.515,10.1,45,42
Lost,G,Cap,Oth,41,1.257,10.8,72,54
Lost,G,Air,UK,56,1.847,7.6,49,61
Won,P,Inf,UK,37,0.921,6.9,38,100
Lost,G,Ban,Sin,65,1.484,7.8,53,53
Lost,G,Oth,UK,49,0.67,12.3,71,65
Won,F,Con,UK,54,0.77,6,55,78
Won,G,Cap,Oth,41,0.54,8.2,51,73
Lost,C,Ban,UK,59,1.058,5,56,49
Lost,G,Oth,UK,49,1.867,8.7,52,69
Won,G,OG,Jap,24,0.825,10.8,56,59
Won,P,Sec,Ame,68,0.398,5.4,42,59
Lost,F,Cap,Oth,57,1.153,8,66,55
Won,P,Inf,UK,37,0.393,7.3,58,59
Lost,G,Oth,UK,49,0.796,7.4,60,66
Lost,G,Ban,Afr,52,0.972,12.5,78,40
Won,P,Cli,UK,70,0.315,6.1,45,58
Won,Li,Con,UK,46,0.252,8.7,30,43
Won,G,Def,Ame,50,0.87,8.7,52,69
Lost,Li,Cap,Oth,47,1.249,9.1,50,57
Lost,G,Air,UK,56,0.765,11,67,66
Won,P,Mob,Can,29,1.546,13.8,38,75
Lost,G,Cap,UK,48,1.566,7.9,54,75
Lost,G,Def,Ame,50,1.619,9.9,60,53
Lost,P,Sec,Ind,44,1.38,7.6,59,70
Lost,G,Tel,Spa,66,0.411,7.4,64,48
Won,Li,Con,UK,46,0.393,9.1,47,50
Lost,Li,Cap,Oth,47,1.612,6.6,54,66
Won,P,Con,UK,53,0.99,5.9,41,48
Lost,G,Air,UK,56,1.389,10.3,39,58
Won,P,Con,UK,53,1.038,9.2,42,76
Won,F,Con,UK,54,0.382,7.7,57,53
Lost,P,Con,UK,53,1.614,10.2,48,68
Won,G,Oth,UK,49,0.385,8.5,30,62
Lost,G,Ban,Afr,52,0.908,6.4,70,58
Lost,G,Ban,Afr,52,0.539,5.9,74,72
Lost,G,Def,Ame,50,1.578,6.5,72,53
Lost,G,Oth,Ame,38,1.377,4.8,62,62
Won,P,Inf,UK,37,1.045,7.3,59,63
Won,G,Air,UK,56,0,7.4,40,67
Lost,G,Hea,UK,67,1.054,8.7,61,62
Won,G,Fin,UK,55,0.337,8.5,60,70
Won,G,Air,UK,56,0.526,8.1,52,50
Won,L,Ene,UK,42,0.348,9.8,57,62
Won,G,Def,Ame,50,0.958,8.4,43,66
Lost,P,Con,UK,53,2.536,7.8,57,49
Won,Li,Con,UK,46,0.215,5.3,52,56
Lost,G,Cap,UK,48,1.614,8,48,60
Won,G,Def,Oth,30,0.538,8.2,54,69
Lost,P,Sec,Ind,44,1.52,9.8,60,53
Won,G,Oth,UK,49,1.122,8.6,28,38
Lost,L,Def,UK,51,1.312,8.5,63,50
Won,Li,Oth,Oth,64,0.919,5.5,39,63
Won,L,Cap,UK,40,1.393,7.8,39,67
Won,G,Ban,Ame,43,1.063,6.5,49,57
Lost,F,Cap,UK,60,0.983,8.1,50,42
Lost,F,Con,UK,54,1.102,8,64,62
Won,G,Cap,UK,48,0.788,9.6,42,45
Won,G,Cap,UK,48,-0.351,8.1,50,50
Lost,G,Ban,Sin,65,1.105,6.2,51,56
Won,C,Ban,UK,59,0.771,7.3,46,79
Lost,F,Cap,UK,60,1.387,8.5,50,67
Lost,G,Cap,UK,48,1.501,5.3,52,71
Lost,L,Def,UK,51,1.109,8.6,52,66
Lost,G,Cap,Oth,41,1.534,9.4,54,43
Lost,P,Con,UK,53,2.306,8.6,47,85
Won,L,Ene,UK,42,0.559,6.6,50,62
Lost,G,Cap,UK,48,1.281,10.7,63,60
Lost,Li,Cap,Oth,47,1.474,8.7,39,65
Won,G,Oth,UK,49,0.583,11.9,52,47
Lost,G,Cap,UK,48,1.393,9.8,55,40
Lost,G,Def,Ame,50,1.427,6.5,55,54
Lost,G,Ban,Ame,43,1.411,10.6,39,49
Lost,P,OG,Jap,33,1.334,6.4,55,59
Lost,G,Ban,UK,61,1.453,7.3,75,61
Won,P,Cap,Ame,28,0.797,8.6,46,52
Lost,G,Ban,UK,61,1.875,5.7,64,57
Lost,Lo,Gov,UK,36,1.509,6,56,48
Won,P,Cap,UK,71,-0.046,10.2,33,55
Won,P,Con,UK,53,0.556,7.3,42,76
Won,G,Ban,Afr,52,0.993,8.9,44,48
Lost,Li,Con,UK,46,1.355,8,45,50
Won,F,Cap,UK,60,0.298,7.4,54,45
Won,Lo,Gov,UK,36,0.177,7,39,52
Won,P,Sec,Ind,44,0.646,7,50,41
Lost,G,Cap,UK,48,1.802,4.2,45,49
Won,G,Ban,Ame,43,-0.003,7.7,45,58
Won,L,Def,UK,51,0.595,8.7,45,52
Lost,Li,Cap,Oth,47,1.408,8.5,51,49
Lost,F,Cap,UK,60,1.225,3.2,49,74
Lost,G,Def,Ame,50,1.415,11,40,39
Won,G,Oth,UK,49,1.167,10.6,34,77
Lost,G,Fin,UK,55,1.549,8.3,59,65
Lost,L,Ban,Afr,45,1.399,8.2,42,49
Won,Li,Cap,Oth,47,1.194,6.4,35,43
Won,G,Oth,UK,49,0.519,4.9,36,73
Lost,G,Oth,UK,49,1.362,7.9,54,58
Lost,G,Oth,UK,49,1.611,7.2,50,62
Won,L,Def,UK,51,1.51,9.3,31,60
Lost,G,Hea,UK,67,1.499,9.7,47,49
Won,P,Con,UK,53,0.611,7.8,59,63
Lost,Lo,Gov,UK,36,1.52,10,48,63
Lost,F,Con,UK,54,2.306,4.9,50,44
Won,G,Ins,UK,58,-0.631,8.9,50,60
Lost,G,Fin,UK,55,1.064,6.7,53,58
Lost,P,Con,UK,53,1.034,6.1,61,49
Lost,P,Con,UK,53,1.306,5.8,56,51
Won,L,Cap,UK,40,0.931,5.8,44,65
Won,L,Def,UK,51,0.5,7.1,61,55
Lost,L,Ban,Afr,45,1.093,7.5,56,71
Lost,G,Ban,Sin,65,1.911,7.7,46,57
Lost,F,Inf,UK,62,1.214,9.2,49,61
Lost,G,Def,Ame,50,1.496,3.3,64,72
Lost,F,Cap,Oth,57,1.023,4,44,60
Won,G,Ban,Ame,43,1.08,12.1,37,75
Won,G,Def,Jap,63,0.337,9.7,51,45
Lost,C,Ban,UK,59,1.026,5.2,42,59
Lost,G,Tel,Spa,66,1.225,8.7,56,35
Won,G,Ban,UK,61,0.28,9.5,55,70
Lost,G,Def,Ame,50,0.964,8.2,55,60
Won,G,Sec,UK,32,0.678,8.1,56,33
Won,F,Con,UK,54,0.595,7.6,47,62
Won,G,Ban,Afr,52,0.919,6.4,43,58
Won,G,Ban,Ame,43,-0.112,7.1,44,47
Lost,C,Ban,UK,59,1.072,11.3,53,43
Lost,G,Cap,UK,48,1.769,9.8,40,72
Won,G,Cap,Oth,41,0.049,7,55,55
Lost,G,Ins,UK,58,1.834,7,39,63
Lost,G,Air,UK,56,1.691,10,52,60
Won,Li,Cap,Oth,47,0.868,9.4,51,48
Lost,F,Cap,Oth,57,1.204,5.2,43,54
Won,L,Ene,UK,42,0.45,10.3,45,66
Lost,G,Ins,UK,58,1.534,9.3,54,61
Lost,P,Sec,Ind,44,2.112,7.3,40,35
Won,G,Oth,UK,49,0.196,7.8,57,58
Won,G,Hea,UK,67,0.324,8.7,38,37
Won,P,Sec,Ind,44,1.087,6.7,51,53
Lost,L,Def,UK,51,1.437,6,53,73
Lost,F,Cap,Oth,57,1.758,9.7,49,52
Lost,P,Con,UK,53,1.413,9.8,68,56
Lost,G,Air,UK,56,0.624,7.3,59,65
Lost,G,Ban,Sin,65,1.343,7.9,41,67
Won,G,Ban,Sin,65,0.548,6.3,33,100
Lost,G,Cap,UK,48,1.612,9.1,30,48
Lost,G,Def,Ame,50,1.646,9.8,53,62
Lost,G,Cap,UK,48,0.757,7.2,71,49
Won,G,Ban,Ame,43,0.189,7.3,52,60
Lost,G,Oth,Afr,39,1.543,10.2,58,64
Won,G,Oth,UK,49,0.477,4.9,57,71
Won,G,Ban,Ame,43,1.122,7.6,41,59
Won,G,Ban,Afr,52,0.229,5.1,50,60
Lost,G,Def,Ame,50,1.428,13.1,53,48
Lost,G,Ban,Ame,43,1.621,8.3,39,55
Won,L,Def,UK,51,0.285,7,43,58
Won,G,Oth,Afr,39,0.115,8.2,69,52
Won,F,Cap,UK,60,0.971,8.1,41,62
Won,P,Con,UK,53,0.674,8.5,35,61
Lost,L,Cap,UK,40,1.805,9.6,53,66
Won,G,Cap,Oth,41,0.436,9.4,57,65
Lost,Li,Con,UK,46,1.755,11,39,69
Won,L,Ene,UK,42,0.15,8.4,68,59
Won,G,Cap,Oth,41,0.358,10.1,32,45
Won,G,Cap,Oth,41,1.169,5.9,54,85
Won,Li,Cap,Oth,47,0.41,9.2,50,62
Lost,G,Oth,UK,49,0.994,11.6,63,41
Won,Lo,Mob,UK,35,1.369,9.5,48,62
Won,G,Cap,UK,48,0.553,6.9,55,57
Won,G,Cap,Oth,41,1.427,7.4,38,70
Lost,P,OG,Jap,33,2.112,11.6,46,40
Lost,G,Fin,UK,55,0.897,8.5,57,69
Won,G,Air,UK,56,0.063,11.5,50,55
Won,P,Cap,Ame,28,1.068,5.6,60,67
Won,G,Oth,UK,49,0.405,7.8,57,61
Won,F,Cap,Oth,57,0.581,9,44,72
Lost,P,Sec,Ind,44,1.793,8.4,32,50
Lost,G,Fin,UK,55,0.809,10,51,43
Won,Lo,Gov,UK,36,0.566,8.8,66,50
Lost,Li,Con,UK,46,0.805,8.3,65,55
Won,G,Ban,Afr,52,0.994,8.7,36,43
Won,F,Inf,UK,62,0.711,7.2,34,51
Lost,G,Ins,UK,58,0.613,8,64,59
Won,Li,Oth,Oth,64,0.337,10.3,52,69
Lost,G,Def,Ame,50,1.116,3.2,48,51
Lost,L,Ban,Afr,45,2.112,10.3,29,66
Won,G,Air,UK,56,0.786,11.4,46,50
Lost,G,Cap,UK,48,1.616,5.6,70,50
Won,G,Ins,UK,58,0.087,10.2,46,56
Won,G,Oth,UK,49,1.462,10.6,32,54
Lost,Li,Oth,Oth,64,0.942,6.8,65,52
Lost,F,Con,UK,54,1.315,5.2,50,68
Lost,F,Con,UK,54,1.09,7.3,74,48
Lost,G,Hea,UK,67,1.303,6.5,46,56
Lost,F,Con,UK,54,1.318,9.7,57,63
Won,Li,Cap,Oth,47,0.364,6.7,50,65
Lost,G,Tel,Spa,66,0.902,11.4,58,50
Lost,P,Con,UK,53,0.806,5.9,60,78
Lost,G,Ban,UK,61,0.79,7.7,58,45
Lost,G,Oth,UK,49,2.112,7.7,46,54
Won,G,Cap,Oth,41,0.337,7.9,44,69
Lost,G,Cap,UK,48,1.073,9.7,66,54
Lost,G,Ban,Ame,43,1.069,4.2,61,63
Lost,G,Def,Ame,50,0.962,7.7,55,63
Won,G,Ban,Ame,43,0.696,10.8,42,60
Won,G,Def,Oth,30,0.976,6.9,47,61
Lost,G,Ban,Ame,43,1.287,8,61,63
Lost,Li,Oth,Oth,64,2.306,9.4,38,66
Lost,G,Oth,UK,49,1.106,6.7,56,35
Won,G,Def,Afr,25,0.145,9.9,52,68
Won,L,Cap,UK,40,0.581,6.8,40,55
Lost,Li,Con,UK,46,0.812,6,69,63
Lost,P,Ene,UK,34,1.472,8.4,52,59
Won,Li,Mob,Can,10,1.433,9.4,36,57
Lost,F,Con,UK,54,1.254,5.5,56,55
Lost,G,Oth,Oth,69,1.01,7,45,56
Lost,G,Cap,UK,48,1.291,8.7,49,60
Lost,F,Cap,UK,60,0.847,6.1,51,60
Won,G,Ban,UK,61,0.587,6.5,49,50
Lost,G,Air,UK,56,1.309,5.9,54,67
Lost,Li,Oth,Oth,64,1.277,8.7,34,59
Lost,L,Def,UK,51,1.359,7.4,57,63
Lost,G,Ban,Afr,52,0.896,6.3,63,66
Won,F,Con,UK,54,0.718,8.1,42,69
Lost,F,Cap,UK,60,0.998,6,59,44
Won,G,Oth,UK,49,0.718,6.1,50,56
Won,Li,Oth,Oth,64,0,9.3,45,56
Won,G,Fin,UK,55,0.432,7.3,38,46
